BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2025-12-18,1429.0,1460.6,1428.0,6081,8720774.3,142
2025-12-17,1432.0,1460.0,1420.2,9112,1.31696689E7,165
2025-12-16,1442.0,1464.0,1420.0,10001,1.43812343E7,171
2025-12-15,1442.0,1520.0,1440.0,7317,1.06722473E7,183
2025-12-14,1449.4,1487.0,1440.0,18169,2.64829215E7,310
2025-12-11,1467.0,1490.0,1461.0,4555,6710533.4,112
2025-12-10,1465.2,1497.0,1463.0,11960,1.76386064E7,144
2025-12-09,1490.0,1499.0,1476.0,7913,1.17653085E7,129
2025-12-08,1497.0,1500.0,1470.0,8648,1.28612313E7,148
2025-12-07,1480.0,1514.0,1471.0,17096,2.53615028E7,239
2025-12-03,1505.2,1644.0,1505.0,22895,3.48311357E7,309
2025-12-02,1520.0,1549.0,1520.0,11082,1.69865594E7,159
2025-12-01,1525.0,1536.0,1507.0,15801,2.41344702E7,218
2025-11-30,1511.4,1558.0,1511.4,22673,3.49534385E7,231
2025-11-27,1542.0,1569.0,1541.0,12587,1.95509375E7,200
2025-11-26,1560.0,1590.0,1556.2,19734,3.1036524E7,246
2025-11-25,1587.9,1600.0,1541.0,21075,3.30372735E7,327
2025-11-24,1600.0,1638.0,1560.0,53882,8.57067429E7,704
2025-11-23,1547.0,1548.0,1480.0,35340,5.42955008E7,363
2025-11-20,1510.0,1539.1,1465.1,26407,3.98292294E7,389
2025-11-19,1480.0,1480.0,1457.1,13213,1.94360007E7,215
2025-11-18,1460.0,1470.0,1450.0,13524,1.97565814E7,208
2025-11-17,1450.0,1451.0,1410.0,7765,1.12056761E7,157
2025-11-16,1432.0,1450.0,1421.0,2745,3929966.8,91
2025-11-13,1430.0,1450.0,1405.1,6777,9709003.5,111
2025-11-12,1423.0,1469.0,1418.1,8387,1.19736599E7,94
2025-11-11,1445.0,1467.0,1420.0,9985,1.44514624E7,190
2025-11-10,1438.0,1438.0,1386.0,8908,1.25860009E7,138
2025-11-09,1410.1,1420.0,1400.0,5598,7879769.6,101
2025-11-06,1419.1,1430.0,1411.0,3610,5129453.2,85
2025-11-05,1410.0,1420.0,1399.0,3014,4241216.0,87
2025-11-04,1406.0,1430.0,1402.0,3096,4378198.5,96
2025-11-03,1430.0,1450.0,1424.0,4330,6215426.0,103
2025-11-02,1435.0,1447.0,1406.0,5641,8100672.8,131
2025-10-30,1419.0,1420.0,1387.2,2911,4108173.2,88
2025-10-29,1415.0,1420.0,1395.1,4275,6029190.6,131
2025-10-28,1417.0,1418.0,1368.0,4412,6202062.5,143
2025-10-26,1370.0,1380.0,1362.0,2497,3418290.8,75
2025-10-19,1370.0,1380.0,1350.0,2840,3896977.3,84
2025-10-16,1366.0,1379.0,1351.0,4347,5956821.8,89
2025-10-15,1376.0,1400.0,1370.0,3296,4558601.8,107
2025-10-14,1381.0,1392.0,1380.0,3912,5422119.0,119
2025-10-13,1390.0,1399.8,1376.1,3028,4193954.1,91
2025-10-12,1377.0,1400.0,1375.0,5991,8276191.1,168
2025-10-09,1413.0,1462.0,1406.0,6448,9205330.2,167
2025-10-08,1406.0,1426.0,1395.2,7009,9897716.4,164
2025-10-07,1449.0,1460.0,1411.2,7995,1.14711941E7,167
2025-09-28,1469.0,1472.0,1445.0,2905,4229098.9,77
2025-09-25,1446.0,1446.0,1420.0,4310,6200210.9,94
2025-09-24,1420.0,1430.0,1410.0,2539,3598416.2,85
2025-09-23,1420.1,1430.0,1390.0,7855,1.11249512E7,201
2025-09-21,1396.61,1432.0,1294.9,15706,2.15211257E7,344
2025-09-18,1314.0,1390.0,1305.2,2292,3062649.0,39
2025-09-08,1416.89,1432.0,1406.0,8754,1.23912999E7,167
2025-09-07,1431.1,1440.0,1420.0,4051,5788871.0,142
2025-09-04,1429.35,1440.0,1421.0,7024,1.00174467E7,161
2025-09-03,1430.05,1457.0,1427.9,5921,8527290.9,159
2025-09-02,1447.85,1470.0,1435.0,5335,7753217.4,139
2025-09-01,1464.24,1466.1,1450.0,4605,6715547.8,151
2025-08-31,1465.98,1499.0,1465.0,10391,1.53744645E7,187
2025-08-28,1487.17,1501.21,1480.0,10356,1.54108899E7,228
